2021-08-07 16:54:50,880 - root - INFO - train with paddle version: 2.1.2, gpu: 1
2021-08-07 16:54:50,880 - root - INFO - Number of training samples: 74820, iter: 293
2021-08-07 16:54:50,880 - root - INFO - Number of validation samples: 18706, iter: 74
2021-08-07 16:55:10,601 - root - INFO - Epoch [0/ 1000] batch [130/293]: loss = 0.5476, acc = 0.7303, lr = 0.001
2021-08-07 16:55:11,821 - root - INFO - Epoch [0/ 1000] batch [140/293]: loss = 0.5044, acc = 0.7330, lr = 0.001
2021-08-07 16:55:13,109 - root - INFO - Epoch [0/ 1000] batch [150/293]: loss = 0.4706, acc = 0.7363, lr = 0.001
2021-08-07 16:55:14,535 - root - INFO - Epoch [0/ 1000] batch [160/293]: loss = 0.5183, acc = 0.7394, lr = 0.001
2021-08-07 16:55:15,773 - root - INFO - Epoch [0/ 1000] batch [170/293]: loss = 0.5168, acc = 0.7414, lr = 0.001
2021-08-07 16:55:17,005 - root - INFO - Epoch [0/ 1000] batch [180/293]: loss = 0.5611, acc = 0.7436, lr = 0.001
2021-08-07 16:55:18,207 - root - INFO - Epoch [0/ 1000] batch [190/293]: loss = 0.5217, acc = 0.7461, lr = 0.001
2021-08-07 16:55:19,411 - root - INFO - Epoch [0/ 1000] batch [200/293]: loss = 0.5258, acc = 0.7481, lr = 0.001
2021-08-07 16:55:20,717 - root - INFO - Epoch [0/ 1000] batch [210/293]: loss = 0.5188, acc = 0.7503, lr = 0.001
2021-08-07 16:55:21,915 - root - INFO - Epoch [0/ 1000] batch [220/293]: loss = 0.5423, acc = 0.7523, lr = 0.001
2021-08-07 16:55:23,181 - root - INFO - Epoch [0/ 1000] batch [230/293]: loss = 0.4885, acc = 0.7535, lr = 0.001
2021-08-07 16:55:24,341 - root - INFO - Epoch [0/ 1000] batch [240/293]: loss = 0.5291, acc = 0.7551, lr = 0.001
2021-08-07 16:55:25,505 - root - INFO - Epoch [0/ 1000] batch [250/293]: loss = 0.5111, acc = 0.7568, lr = 0.001
2021-08-07 16:55:26,732 - root - INFO - Epoch [0/ 1000] batch [260/293]: loss = 0.4668, acc = 0.7586, lr = 0.001
2021-08-07 16:55:27,995 - root - INFO - Epoch [0/ 1000] batch [270/293]: loss = 0.4484, acc = 0.7604, lr = 0.001
2021-08-07 16:55:29,193 - root - INFO - Epoch [0/ 1000] batch [280/293]: loss = 0.5253, acc = 0.7617, lr = 0.001
2021-08-07 16:55:30,555 - root - INFO - Epoch [0/ 1000] batch [290/293]: loss = 0.5092, acc = 0.7632, lr = 0.001
2021-08-07 16:55:30,792 - root - INFO - Epoch 0 train acc = 0.7634, lr = 0.001
2021-08-07 16:55:37,061 - root - INFO - Epoch 0 eval acc = 0.8146, bect_acc = 0.8146, best epoch = 0
2021-08-07 16:55:38,360 - root - INFO - Epoch [1/ 1000] batch [0/293]: loss = 0.5021, acc = 0.7634, lr = 0.001
2021-08-07 16:55:39,350 - root - INFO - Epoch [1/ 1000] batch [10/293]: loss = 0.5308, acc = 0.7649, lr = 0.001
2021-08-07 16:55:40,661 - root - INFO - Epoch [1/ 1000] batch [20/293]: loss = 0.4744, acc = 0.7663, lr = 0.001
2021-08-07 16:55:41,873 - root - INFO - Epoch [1/ 1000] batch [30/293]: loss = 0.4707, acc = 0.7678, lr = 0.001
2021-08-07 16:55:43,171 - root - INFO - Epoch [1/ 1000] batch [40/293]: loss = 0.4826, acc = 0.7699, lr = 0.001
2021-08-07 16:55:44,307 - root - INFO - Epoch [1/ 1000] batch [50/293]: loss = 0.4891, acc = 0.7706, lr = 0.001
2021-08-07 16:55:45,547 - root - INFO - Epoch [1/ 1000] batch [60/293]: loss = 0.4894, acc = 0.7714, lr = 0.001
2021-08-07 16:55:46,738 - root - INFO - Epoch [1/ 1000] batch [70/293]: loss = 0.4690, acc = 0.7726, lr = 0.001
2021-08-07 16:55:48,210 - root - INFO - Epoch [1/ 1000] batch [80/293]: loss = 0.4993, acc = 0.7738, lr = 0.001
2021-08-07 16:55:49,405 - root - INFO - Epoch [1/ 1000] batch [90/293]: loss = 0.4965, acc = 0.7751, lr = 0.001
2021-08-07 16:55:50,484 - root - INFO - Epoch [1/ 1000] batch [100/293]: loss = 0.4809, acc = 0.7766, lr = 0.001
2021-08-07 16:55:51,831 - root - INFO - Epoch [1/ 1000] batch [110/293]: loss = 0.4574, acc = 0.7775, lr = 0.001
2021-08-07 16:55:53,176 - root - INFO - Epoch [1/ 1000] batch [120/293]: loss = 0.4530, acc = 0.7789, lr = 0.001
2021-08-07 16:55:54,277 - root - INFO - Epoch [1/ 1000] batch [130/293]: loss = 0.4444, acc = 0.7802, lr = 0.001
2021-08-07 16:55:55,594 - root - INFO - Epoch [1/ 1000] batch [140/293]: loss = 0.4835, acc = 0.7815, lr = 0.001
2021-08-07 16:55:56,731 - root - INFO - Epoch [1/ 1000] batch [150/293]: loss = 0.4567, acc = 0.7827, lr = 0.001
2021-08-07 16:55:58,073 - root - INFO - Epoch [1/ 1000] batch [160/293]: loss = 0.5056, acc = 0.7837, lr = 0.001
2021-08-07 16:55:59,291 - root - INFO - Epoch [1/ 1000] batch [170/293]: loss = 0.4920, acc = 0.7848, lr = 0.001
2021-08-07 16:56:00,449 - root - INFO - Epoch [1/ 1000] batch [180/293]: loss = 0.4513, acc = 0.7860, lr = 0.001
2021-08-07 16:56:01,582 - root - INFO - Epoch [1/ 1000] batch [190/293]: loss = 0.4931, acc = 0.7867, lr = 0.001
2021-08-07 16:56:02,755 - root - INFO - Epoch [1/ 1000] batch [200/293]: loss = 0.4284, acc = 0.7875, lr = 0.001
2021-08-07 16:56:03,933 - root - INFO - Epoch [1/ 1000] batch [210/293]: loss = 0.4772, acc = 0.7883, lr = 0.001
2021-08-07 16:56:05,189 - root - INFO - Epoch [1/ 1000] batch [220/293]: loss = 0.4800, acc = 0.7891, lr = 0.001
2021-08-07 16:56:06,330 - root - INFO - Epoch [1/ 1000] batch [230/293]: loss = 0.4371, acc = 0.7902, lr = 0.001
2021-08-07 16:56:07,538 - root - INFO - Epoch [1/ 1000] batch [240/293]: loss = 0.4838, acc = 0.7913, lr = 0.001
2021-08-07 16:56:08,716 - root - INFO - Epoch [1/ 1000] batch [250/293]: loss = 0.4368, acc = 0.7923, lr = 0.001
2021-08-07 16:56:09,969 - root - INFO - Epoch [1/ 1000] batch [260/293]: loss = 0.4767, acc = 0.7931, lr = 0.001
2021-08-07 16:56:11,113 - root - INFO - Epoch [1/ 1000] batch [270/293]: loss = 0.4699, acc = 0.7941, lr = 0.001
2021-08-07 16:56:12,411 - root - INFO - Epoch [1/ 1000] batch [280/293]: loss = 0.4568, acc = 0.7951, lr = 0.001
2021-08-07 16:56:13,732 - root - INFO - Epoch [1/ 1000] batch [290/293]: loss = 0.4448, acc = 0.7961, lr = 0.001
2021-08-07 16:56:13,975 - root - INFO - Epoch 1 train acc = 0.7962, lr = 0.001
2021-08-07 16:56:20,176 - root - INFO - Epoch 1 eval acc = 0.8828, bect_acc = 0.8828, best epoch = 1
2021-08-07 16:56:21,568 - root - INFO - Epoch [2/ 1000] batch [0/293]: loss = 0.4586, acc = 0.7963, lr = 0.001
2021-08-07 16:56:22,711 - root - INFO - Epoch [2/ 1000] batch [10/293]: loss = 0.4308, acc = 0.7972, lr = 0.001
2021-08-07 16:56:24,262 - root - INFO - Epoch [2/ 1000] batch [20/293]: loss = 0.4472, acc = 0.7981, lr = 0.001
2021-08-07 16:56:25,636 - root - INFO - Epoch [2/ 1000] batch [30/293]: loss = 0.4527, acc = 0.7991, lr = 0.001
2021-08-07 16:56:27,140 - root - INFO - Epoch [2/ 1000] batch [40/293]: loss = 0.4625, acc = 0.8001, lr = 0.001
2021-08-07 16:56:28,469 - root - INFO - Epoch [2/ 1000] batch [50/293]: loss = 0.4716, acc = 0.8009, lr = 0.001
2021-08-07 16:56:29,682 - root - INFO - Epoch [2/ 1000] batch [60/293]: loss = 0.4307, acc = 0.8018, lr = 0.001
2021-08-07 16:56:30,814 - root - INFO - Epoch [2/ 1000] batch [70/293]: loss = 0.4697, acc = 0.8025, lr = 0.001
2021-08-07 16:56:32,019 - root - INFO - Epoch [2/ 1000] batch [80/293]: loss = 0.4194, acc = 0.8035, lr = 0.001
2021-08-07 16:56:33,239 - root - INFO - Epoch [2/ 1000] batch [90/293]: loss = 0.4384, acc = 0.8043, lr = 0.001
2021-08-07 16:56:34,448 - root - INFO - Epoch [2/ 1000] batch [100/293]: loss = 0.4602, acc = 0.8050, lr = 0.001
2021-08-07 16:56:35,672 - root - INFO - Epoch [2/ 1000] batch [110/293]: loss = 0.4384, acc = 0.8059, lr = 0.001
2021-08-07 16:56:36,818 - root - INFO - Epoch [2/ 1000] batch [120/293]: loss = 0.4887, acc = 0.8064, lr = 0.001
2021-08-07 16:56:38,037 - root - INFO - Epoch [2/ 1000] batch [130/293]: loss = 0.4426, acc = 0.8072, lr = 0.001
2021-08-07 16:56:39,193 - root - INFO - Epoch [2/ 1000] batch [140/293]: loss = 0.4540, acc = 0.8080, lr = 0.001
2021-08-07 16:56:40,398 - root - INFO - Epoch [2/ 1000] batch [150/293]: loss = 0.4379, acc = 0.8088, lr = 0.001
2021-08-07 16:56:41,576 - root - INFO - Epoch [2/ 1000] batch [160/293]: loss = 0.4353, acc = 0.8097, lr = 0.001
2021-08-07 16:56:42,810 - root - INFO - Epoch [2/ 1000] batch [170/293]: loss = 0.4430, acc = 0.8104, lr = 0.001
2021-08-07 16:56:43,973 - root - INFO - Epoch [2/ 1000] batch [180/293]: loss = 0.4347, acc = 0.8111, lr = 0.001
2021-08-07 16:56:45,116 - root - INFO - Epoch [2/ 1000] batch [190/293]: loss = 0.4322, acc = 0.8119, lr = 0.001
2021-08-07 16:56:46,350 - root - INFO - Epoch [2/ 1000] batch [200/293]: loss = 0.4420, acc = 0.8126, lr = 0.001
2021-08-07 16:56:47,499 - root - INFO - Epoch [2/ 1000] batch [210/293]: loss = 0.4437, acc = 0.8133, lr = 0.001
2021-08-07 16:56:48,660 - root - INFO - Epoch [2/ 1000] batch [220/293]: loss = 0.4302, acc = 0.8140, lr = 0.001
2021-08-07 16:56:49,807 - root - INFO - Epoch [2/ 1000] batch [230/293]: loss = 0.4354, acc = 0.8148, lr = 0.001
2021-08-07 16:56:50,963 - root - INFO - Epoch [2/ 1000] batch [240/293]: loss = 0.4335, acc = 0.8154, lr = 0.001
2021-08-07 16:56:52,225 - root - INFO - Epoch [2/ 1000] batch [250/293]: loss = 0.4585, acc = 0.8160, lr = 0.001
2021-08-07 16:56:53,631 - root - INFO - Epoch [2/ 1000] batch [260/293]: loss = 0.4209, acc = 0.8166, lr = 0.001
2021-08-07 16:56:54,812 - root - INFO - Epoch [2/ 1000] batch [270/293]: loss = 0.4485, acc = 0.8172, lr = 0.001
2021-08-07 16:56:55,979 - root - INFO - Epoch [2/ 1000] batch [280/293]: loss = 0.4299, acc = 0.8179, lr = 0.001
2021-08-07 16:56:57,256 - root - INFO - Epoch [2/ 1000] batch [290/293]: loss = 0.4558, acc = 0.8186, lr = 0.001
2021-08-07 16:56:57,478 - root - INFO - Epoch 2 train acc = 0.8187, lr = 0.001
2021-08-07 16:57:03,697 - root - INFO - Epoch 2 eval acc = 0.9082, bect_acc = 0.9082, best epoch = 2
2021-08-07 16:57:05,414 - root - INFO - Epoch [3/ 1000] batch [0/293]: loss = 0.4259, acc = 0.8187, lr = 0.001
2021-08-07 16:57:06,646 - root - INFO - Epoch [3/ 1000] batch [10/293]: loss = 0.4453, acc = 0.8194, lr = 0.001
2021-08-07 16:57:07,837 - root - INFO - Epoch [3/ 1000] batch [20/293]: loss = 0.4200, acc = 0.8201, lr = 0.001
2021-08-07 16:57:08,951 - root - INFO - Epoch [3/ 1000] batch [30/293]: loss = 0.4292, acc = 0.8206, lr = 0.001
2021-08-07 16:57:10,103 - root - INFO - Epoch [3/ 1000] batch [40/293]: loss = 0.4299, acc = 0.8211, lr = 0.001
2021-08-07 16:57:11,266 - root - INFO - Epoch [3/ 1000] batch [50/293]: loss = 0.4251, acc = 0.8218, lr = 0.001
2021-08-07 16:57:12,448 - root - INFO - Epoch [3/ 1000] batch [60/293]: loss = 0.4181, acc = 0.8223, lr = 0.001
2021-08-07 16:57:13,664 - root - INFO - Epoch [3/ 1000] batch [70/293]: loss = 0.4357, acc = 0.8229, lr = 0.001
2021-08-07 16:57:14,827 - root - INFO - Epoch [3/ 1000] batch [80/293]: loss = 0.4142, acc = 0.8234, lr = 0.001
2021-08-07 16:57:16,014 - root - INFO - Epoch [3/ 1000] batch [90/293]: loss = 0.4505, acc = 0.8239, lr = 0.001
2021-08-07 16:57:17,211 - root - INFO - Epoch [3/ 1000] batch [100/293]: loss = 0.4001, acc = 0.8243, lr = 0.001
2021-08-07 16:57:18,388 - root - INFO - Epoch [3/ 1000] batch [110/293]: loss = 0.4526, acc = 0.8248, lr = 0.001
2021-08-07 16:57:19,547 - root - INFO - Epoch [3/ 1000] batch [120/293]: loss = 0.4293, acc = 0.8253, lr = 0.001
2021-08-07 16:57:20,734 - root - INFO - Epoch [3/ 1000] batch [130/293]: loss = 0.4266, acc = 0.8260, lr = 0.001
2021-08-07 16:57:21,730 - root - INFO - Epoch [3/ 1000] batch [140/293]: loss = 0.4167, acc = 0.8265, lr = 0.001
2021-08-07 16:57:22,812 - root - INFO - Epoch [3/ 1000] batch [150/293]: loss = 0.4150, acc = 0.8272, lr = 0.001
2021-08-07 16:57:23,797 - root - INFO - Epoch [3/ 1000] batch [160/293]: loss = 0.4331, acc = 0.8277, lr = 0.001
2021-08-07 16:57:25,182 - root - INFO - Epoch [3/ 1000] batch [170/293]: loss = 0.4179, acc = 0.8281, lr = 0.001
2021-08-07 16:57:26,228 - root - INFO - Epoch [3/ 1000] batch [180/293]: loss = 0.4414, acc = 0.8285, lr = 0.001
2021-08-07 16:57:27,362 - root - INFO - Epoch [3/ 1000] batch [190/293]: loss = 0.4078, acc = 0.8292, lr = 0.001
2021-08-07 16:57:28,427 - root - INFO - Epoch [3/ 1000] batch [200/293]: loss = 0.4023, acc = 0.8298, lr = 0.001
2021-08-07 16:57:29,540 - root - INFO - Epoch [3/ 1000] batch [210/293]: loss = 0.4380, acc = 0.8303, lr = 0.001
2021-08-07 16:57:30,576 - root - INFO - Epoch [3/ 1000] batch [220/293]: loss = 0.4350, acc = 0.8309, lr = 0.001
2021-08-07 16:57:31,676 - root - INFO - Epoch [3/ 1000] batch [230/293]: loss = 0.4141, acc = 0.8314, lr = 0.001
2021-08-07 16:57:32,937 - root - INFO - Epoch [3/ 1000] batch [240/293]: loss = 0.4443, acc = 0.8319, lr = 0.001
2021-08-07 16:57:34,044 - root - INFO - Epoch [3/ 1000] batch [250/293]: loss = 0.4521, acc = 0.8323, lr = 0.001
2021-08-07 16:57:35,209 - root - INFO - Epoch [3/ 1000] batch [260/293]: loss = 0.4206, acc = 0.8328, lr = 0.001
2021-08-07 16:57:36,434 - root - INFO - Epoch [3/ 1000] batch [270/293]: loss = 0.4406, acc = 0.8332, lr = 0.001
2021-08-07 16:57:37,468 - root - INFO - Epoch [3/ 1000] batch [280/293]: loss = 0.4397, acc = 0.8335, lr = 0.001
2021-08-07 16:57:38,886 - root - INFO - Epoch [3/ 1000] batch [290/293]: loss = 0.4687, acc = 0.8339, lr = 0.001
2021-08-07 16:57:39,118 - root - INFO - Epoch 3 train acc = 0.8339, lr = 0.001
2021-08-07 16:57:45,215 - root - INFO - Epoch 3 eval acc = 0.9025, bect_acc = 0.9082, best epoch = 2
2021-08-07 16:57:46,608 - root - INFO - Epoch [4/ 1000] batch [0/293]: loss = 0.4058, acc = 0.8340, lr = 0.001
2021-08-07 16:57:47,822 - root - INFO - Epoch [4/ 1000] batch [10/293]: loss = 0.4350, acc = 0.8344, lr = 0.001
2021-08-07 16:57:49,033 - root - INFO - Epoch [4/ 1000] batch [20/293]: loss = 0.4275, acc = 0.8348, lr = 0.001
2021-08-07 16:57:50,254 - root - INFO - Epoch [4/ 1000] batch [30/293]: loss = 0.4321, acc = 0.8353, lr = 0.001
2021-08-07 16:57:51,446 - root - INFO - Epoch [4/ 1000] batch [40/293]: loss = 0.4106, acc = 0.8357, lr = 0.001
2021-08-07 16:57:52,620 - root - INFO - Epoch [4/ 1000] batch [50/293]: loss = 0.4177, acc = 0.8361, lr = 0.001
2021-08-07 16:57:53,838 - root - INFO - Epoch [4/ 1000] batch [60/293]: loss = 0.4384, acc = 0.8365, lr = 0.001
2021-08-07 16:57:55,091 - root - INFO - Epoch [4/ 1000] batch [70/293]: loss = 0.4597, acc = 0.8369, lr = 0.001
2021-08-07 16:57:56,272 - root - INFO - Epoch [4/ 1000] batch [80/293]: loss = 0.4342, acc = 0.8373, lr = 0.001
2021-08-07 16:57:57,526 - root - INFO - Epoch [4/ 1000] batch [90/293]: loss = 0.3916, acc = 0.8378, lr = 0.001
2021-08-07 16:57:58,697 - root - INFO - Epoch [4/ 1000] batch [100/293]: loss = 0.4165, acc = 0.8382, lr = 0.001
2021-08-07 16:57:59,859 - root - INFO - Epoch [4/ 1000] batch [110/293]: loss = 0.3948, acc = 0.8386, lr = 0.001
2021-08-07 16:58:01,032 - root - INFO - Epoch [4/ 1000] batch [120/293]: loss = 0.4194, acc = 0.8390, lr = 0.001
2021-08-07 16:58:02,227 - root - INFO - Epoch [4/ 1000] batch [130/293]: loss = 0.4103, acc = 0.8394, lr = 0.001
2021-08-07 16:58:03,438 - root - INFO - Epoch [4/ 1000] batch [140/293]: loss = 0.4298, acc = 0.8399, lr = 0.001
2021-08-07 16:58:04,658 - root - INFO - Epoch [4/ 1000] batch [150/293]: loss = 0.4265, acc = 0.8403, lr = 0.001
2021-08-07 16:58:05,887 - root - INFO - Epoch [4/ 1000] batch [160/293]: loss = 0.4229, acc = 0.8407, lr = 0.001
2021-08-07 16:58:07,165 - root - INFO - Epoch [4/ 1000] batch [170/293]: loss = 0.4184, acc = 0.8411, lr = 0.001
2021-08-07 16:58:08,301 - root - INFO - Epoch [4/ 1000] batch [180/293]: loss = 0.3999, acc = 0.8415, lr = 0.001
2021-08-07 16:58:09,513 - root - INFO - Epoch [4/ 1000] batch [190/293]: loss = 0.3869, acc = 0.8419, lr = 0.001
2021-08-07 16:58:11,062 - root - INFO - Epoch [4/ 1000] batch [200/293]: loss = 0.4080, acc = 0.8422, lr = 0.001
2021-08-07 16:58:12,306 - root - INFO - Epoch [4/ 1000] batch [210/293]: loss = 0.4067, acc = 0.8426, lr = 0.001
2021-08-07 16:58:13,515 - root - INFO - Epoch [4/ 1000] batch [220/293]: loss = 0.4058, acc = 0.8429, lr = 0.001
2021-08-07 16:58:14,696 - root - INFO - Epoch [4/ 1000] batch [230/293]: loss = 0.4302, acc = 0.8432, lr = 0.001
2021-08-07 16:58:15,947 - root - INFO - Epoch [4/ 1000] batch [240/293]: loss = 0.4051, acc = 0.8436, lr = 0.001
2021-08-07 16:58:17,176 - root - INFO - Epoch [4/ 1000] batch [250/293]: loss = 0.3982, acc = 0.8440, lr = 0.001
2021-08-07 16:58:18,396 - root - INFO - Epoch [4/ 1000] batch [260/293]: loss = 0.4225, acc = 0.8444, lr = 0.001
2021-08-07 16:58:19,609 - root - INFO - Epoch [4/ 1000] batch [270/293]: loss = 0.4361, acc = 0.8447, lr = 0.001
2021-08-07 16:58:20,866 - root - INFO - Epoch [4/ 1000] batch [280/293]: loss = 0.4141, acc = 0.8450, lr = 0.001
2021-08-07 16:58:22,197 - root - INFO - Epoch [4/ 1000] batch [290/293]: loss = 0.4291, acc = 0.8453, lr = 0.001
2021-08-07 16:58:22,426 - root - INFO - Epoch 4 train acc = 0.8454, lr = 0.001
2021-08-07 16:58:30,455 - root - INFO - Epoch 4 eval acc = 0.9214, bect_acc = 0.9214, best epoch = 4
2021-08-07 16:58:32,098 - root - INFO - Epoch [5/ 1000] batch [0/293]: loss = 0.4119, acc = 0.8454, lr = 0.001
2021-08-07 16:58:33,527 - root - INFO - Epoch [5/ 1000] batch [10/293]: loss = 0.4320, acc = 0.8457, lr = 0.001
2021-08-07 16:58:34,998 - root - INFO - Epoch [5/ 1000] batch [20/293]: loss = 0.4117, acc = 0.8460, lr = 0.001
2021-08-07 16:58:36,568 - root - INFO - Epoch [5/ 1000] batch [30/293]: loss = 0.4371, acc = 0.8462, lr = 0.001
2021-08-07 16:58:38,155 - root - INFO - Epoch [5/ 1000] batch [40/293]: loss = 0.4070, acc = 0.8465, lr = 0.001
2021-08-07 16:58:39,608 - root - INFO - Epoch [5/ 1000] batch [50/293]: loss = 0.4357, acc = 0.8469, lr = 0.001
2021-08-07 16:58:40,904 - root - INFO - Epoch [5/ 1000] batch [60/293]: loss = 0.4096, acc = 0.8472, lr = 0.001
2021-08-07 16:58:42,223 - root - INFO - Epoch [5/ 1000] batch [70/293]: loss = 0.4326, acc = 0.8474, lr = 0.001
2021-08-07 16:58:43,790 - root - INFO - Epoch [5/ 1000] batch [80/293]: loss = 0.3927, acc = 0.8478, lr = 0.001
2021-08-07 16:58:45,500 - root - INFO - Epoch [5/ 1000] batch [90/293]: loss = 0.4268, acc = 0.8481, lr = 0.001
2021-08-07 16:58:46,758 - root - INFO - Epoch [5/ 1000] batch [100/293]: loss = 0.4086, acc = 0.8483, lr = 0.001
2021-08-07 16:58:48,332 - root - INFO - Epoch [5/ 1000] batch [110/293]: loss = 0.4034, acc = 0.8486, lr = 0.001
2021-08-07 16:58:49,654 - root - INFO - Epoch [5/ 1000] batch [120/293]: loss = 0.4289, acc = 0.8489, lr = 0.001
2021-08-07 16:58:51,159 - root - INFO - Epoch [5/ 1000] batch [130/293]: loss = 0.4111, acc = 0.8492, lr = 0.001
2021-08-07 16:58:52,555 - root - INFO - Epoch [5/ 1000] batch [140/293]: loss = 0.3992, acc = 0.8496, lr = 0.001
2021-08-07 16:58:54,132 - root - INFO - Epoch [5/ 1000] batch [150/293]: loss = 0.4123, acc = 0.8499, lr = 0.001
2021-08-07 16:58:55,643 - root - INFO - Epoch [5/ 1000] batch [160/293]: loss = 0.3999, acc = 0.8502, lr = 0.001
2021-08-07 16:58:57,120 - root - INFO - Epoch [5/ 1000] batch [170/293]: loss = 0.4309, acc = 0.8504, lr = 0.001
2021-08-07 16:58:58,759 - root - INFO - Epoch [5/ 1000] batch [180/293]: loss = 0.4282, acc = 0.8506, lr = 0.001
2021-08-07 16:59:00,035 - root - INFO - Epoch [5/ 1000] batch [190/293]: loss = 0.3947, acc = 0.8509, lr = 0.001
2021-08-07 16:59:01,470 - root - INFO - Epoch [5/ 1000] batch [200/293]: loss = 0.4057, acc = 0.8512, lr = 0.001
2021-08-07 16:59:02,767 - root - INFO - Epoch [5/ 1000] batch [210/293]: loss = 0.4201, acc = 0.8514, lr = 0.001
2021-08-07 16:59:04,324 - root - INFO - Epoch [5/ 1000] batch [220/293]: loss = 0.4050, acc = 0.8516, lr = 0.001
2021-08-07 16:59:05,931 - root - INFO - Epoch [5/ 1000] batch [230/293]: loss = 0.4069, acc = 0.8518, lr = 0.001
2021-08-07 16:59:07,238 - root - INFO - Epoch [5/ 1000] batch [240/293]: loss = 0.4207, acc = 0.8521, lr = 0.001
2021-08-07 16:59:08,550 - root - INFO - Epoch [5/ 1000] batch [250/293]: loss = 0.3946, acc = 0.8524, lr = 0.001
2021-08-07 16:59:10,087 - root - INFO - Epoch [5/ 1000] batch [260/293]: loss = 0.3894, acc = 0.8527, lr = 0.001
2021-08-07 16:59:11,523 - root - INFO - Epoch [5/ 1000] batch [270/293]: loss = 0.4047, acc = 0.8530, lr = 0.001
2021-08-07 16:59:13,484 - root - INFO - Epoch [5/ 1000] batch [280/293]: loss = 0.4247, acc = 0.8533, lr = 0.001
2021-08-07 16:59:14,559 - root - INFO - Epoch [5/ 1000] batch [290/293]: loss = 0.3939, acc = 0.8536, lr = 0.001
2021-08-07 16:59:14,749 - root - INFO - Epoch 5 train acc = 0.8536, lr = 0.001
2021-08-07 16:59:22,419 - root - INFO - Epoch 5 eval acc = 0.9268, bect_acc = 0.9268, best epoch = 5
2021-08-07 16:59:24,118 - root - INFO - Epoch [6/ 1000] batch [0/293]: loss = 0.4035, acc = 0.8537, lr = 0.001
2021-08-07 16:59:25,522 - root - INFO - Epoch [6/ 1000] batch [10/293]: loss = 0.4026, acc = 0.8540, lr = 0.001
2021-08-07 16:59:27,044 - root - INFO - Epoch [6/ 1000] batch [20/293]: loss = 0.3877, acc = 0.8543, lr = 0.001
2021-08-07 16:59:28,636 - root - INFO - Epoch [6/ 1000] batch [30/293]: loss = 0.3830, acc = 0.8545, lr = 0.001
2021-08-07 16:59:30,504 - root - INFO - Epoch [6/ 1000] batch [40/293]: loss = 0.4075, acc = 0.8547, lr = 0.001
2021-08-07 16:59:32,058 - root - INFO - Epoch [6/ 1000] batch [50/293]: loss = 0.4004, acc = 0.8550, lr = 0.001
2021-08-07 16:59:33,622 - root - INFO - Epoch [6/ 1000] batch [60/293]: loss = 0.4111, acc = 0.8552, lr = 0.001
2021-08-07 16:59:35,209 - root - INFO - Epoch [6/ 1000] batch [70/293]: loss = 0.3844, acc = 0.8554, lr = 0.001
2021-08-07 16:59:37,157 - root - INFO - Epoch [6/ 1000] batch [80/293]: loss = 0.3870, acc = 0.8557, lr = 0.001
2021-08-07 16:59:38,557 - root - INFO - Epoch [6/ 1000] batch [90/293]: loss = 0.4155, acc = 0.8559, lr = 0.001
2021-08-07 16:59:39,998 - root - INFO - Epoch [6/ 1000] batch [100/293]: loss = 0.4422, acc = 0.8562, lr = 0.001
2021-08-07 16:59:41,460 - root - INFO - Epoch [6/ 1000] batch [110/293]: loss = 0.4106, acc = 0.8564, lr = 0.001
